8851907273392,11500,ELP,DHA,108
8851907279097,19500,ELP,DHA,847
8851907279066,20500,ELP,DHA,223
8851907279103,22000,ELP,DHA,1054
8851907279158,22000,ELP,DHA,782
8851907209360,2500,ELP,DHA,3308
8851907209384,2500,ELP,DHA,2907
8851907248178,17500,ELP,DHA,534
8851907248185,17500,ELP,DHA,352
8851907248161,17500,ELP,DHA,175
8851907264871,10000,ELP,DHA,11587
8851907093679,45000,ELP,DHA,156
8851907264888,18000,ELP,DHA,4188
8851907264895,22500,ELP,DHA,2275
8851907264901,40000,ELP,DHA,252
8851907276485,7500,ELP,DHA,1072
8851907124007,40000,ELP,DHA,546
8851907123994,60000,ELP,DHA,101
8851907228439,3500,MSTA,DHA,183
8851907228453,3500,MSTA,DHA,5710
8851907228446,4000,MSTA,DHA,452
8851907275914,13000,MSTA,DHA,1224
8851907228460,3500,MSTA,DHA,960
8851907132859,21500,MSTA,DHA,862
8851907132866,21500,MSTA,DHA,708
8851907132873,21500,MSTA,DHA,878
8851907132880,21500,MSTA,DHA,867
8851907273156,61500,MSTA,DHA,397
8851907273163,137000,MSTA,DHA,432
8851907273170,203000,MSTA,DHA,313
8851907273187,256000,MSTA,DHA,193
8851907249694,14500,QTM,DHA,186
8851907249700,14500,QTM,DHA,377
8851907278014,79000,QTM,DHA,200
8851907272753,32000,QTM,DHA,1524
8851907276683,15000,QTM,DHA,672
8851907107338,15500,QTM,DHA,1679
8851907144715,7500,QTM,DHA,161
8851907159580,7500,QTM,DHA,150
8851907144708,7500,QTM,DHA,301
8851907285463,11000,QTM,DHA,7648
8851907198244,4500,QTM,DHA,385
8851907242312,206000,QTM,DHA,111
8851907242305,181000,QTM,DHA,100
8851907123741,5000,QTM,DHA,478
8851907161033,4000,QTM,DHA,842
8851907161019,4000,QTM,DHA,800
8851907222857,4500,QTM,DHA,521
8851907222840,4500,QTM,DHA,1604
8851907222833,4500,QTM,DHA,3536
8851907253981,11500,QTM,DHA,698
8851907253974,11500,QTM,DHA,1133
8851907271527,15500,QTM,DHA,1034
8851907271558,15500,QTM,DHA,2570
8851907278434,32500,QTM,DHA,1860
8851907276553,12500,QTM,DHA,315
8851907038625,39500,RNS,DHA,1519
8851907030186,36000,RNS,DHA,3166
8851907146757,111000,RNS,DHA,106
8851907208783,16500,RNS,DHA,1022
8851907208752,16500,RNS,DHA,1382
8851907208738,16500,RNS,DHA,1600
8851907275891,122000,RNS,DHA,592
8851907276706,15000,QTM,DHA,600
8851907276690,15000,QTM,DHA,540
8851907144753,49000,MSTA,DHA,127
8851907208769,16500,RNS,DHA,1884
